Taxon	h1468	h1600	s800	s934	s1024	s1116	w1116	w1204	w1274
k__Bacteria;p__Armatimonadetes;c__0319-6E2	5.11E-05	0.00046151	0	0.000162161	0.000502353	4.48E-05	0.000123738	0	0.000118287
k__Bacteria;p__Armatimonadetes;c__Armatimonadia	0.001022547	0.000876869	0.000130699	0.000370654	0.000555232	0.000627662	0.000767175	0.001244759	0.000473149
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	0.000715783	0.000599963	0.000283181	0.000810805	0.000502353	0.000784577	0.000519699	6.55E-05	0.000496806
k__Bacteria;p__Armatimonadetes;c__OPB50	5.11E-05	9.23E-05	0	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__SJA-176	0	0	0	0	0.000105759	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0.003808988	0.001799889	0.000544579	0.001320453	0.001004706	0.001479489	0.001781825	0.002402166	0.001419446
k__Bacteria;p__BHI80-139;c__	2.56E-05	0	0	0	0	0	2.47E-05	6.55E-05	0
k__Bacteria;p__BRC1;c__PRR-11	0	0	0	0	0	0	4.95E-05	0	0
k__Bacteria;p__Bacteroidetes;Other	5.11E-05	9.23E-05	0.000108916	4.63E-05	0.000211517	0.000224165	0.000296971	0.000371244	4.73E-05
k__Bacteria;p__Bacteroidetes;c__At12OctB3	0	0.000184604	2.18E-05	6.95E-05	0	6.72E-05	0	0	7.10E-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0	0	0.000130699	0	5.29E-05	4.48E-05	0	0	0
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.000996983	0.000876869	0	0.000231658	7.93E-05	0	0.000494951	4.37E-05	0.001348474
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0	4.62E-05	0	0.000115829	0	0	0	0	9.46E-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.000460146	0.000369208	0.000108916	0.000671809	0.000634551	0.000537996	0.000519699	0.000589623	0.00082801
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.002556368	0.002399852	0.000348531	0.001644775	0.001269103	0.000851827	0.001979806	0.00216195	0.001750651
k__Bacteria;p__Chlorobi;Other	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__	0.000409019	0.00046151	2.18E-05	0.000138995	7.93E-05	0.000201748	0.000222728	0.000174703	0.000141945
k__Bacteria;p__Chlorobi;c__BSV26	0	0	2.18E-05	0.000463317	0	0	0	0	0
k__Bacteria;p__Chlorobi;c__SJA-28	0	0	0	0.000463317	0	0	0	0	0.000141945
k__Bacteria;p__Chloroflexi;Other	2.56E-05	0.000692265	8.71E-05	0.000138995	0.000211517	0.000224165	0	0.000174703	0.000236574
k__Bacteria;p__Chloroflexi;c__Anaerolineae	0.001329311	0.001246077	0.001045592	0.001436282	0.000290836	4.48E-05	0.000148485	0	0.0011119
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	0	0	0.000130699	4.63E-05	2.64E-05	0	0	0	0
k__Bacteria;p__Chloroflexi;c__Ellin6529	0	0.000507661	0.000152482	0.000440151	0	2.24E-05	0	0	0.000212917
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	0.010685618	0.018091194	0.042085085	0.020733431	0.056131352	0.00928043	0.030093051	0.004607792	0.044854507
k__Bacteria;p__Chloroflexi;c__S085	0	0.000184604	0	4.63E-05	2.64E-05	0	0	0	7.10E-05
k__Bacteria;p__Chloroflexi;c__SHA-26	0.000383455	0.001061473	0.000675278	0.000463317	0.001004706	0.000694911	0.000445456	0.000283892	0.0011119
k__Bacteria;p__Chloroflexi;c__TK10	5.11E-05	0.001015322	0.000174265	0.000393819	0.000449474	0.000134499	0.000247476	2.18E-05	0.000283889
k__Bacteria;p__Chloroflexi;c__TK17	0.001048111	0.001338379	0.000653495	0.001135126	0.001771456	0.001075992	0.000395961	0.000545947	0.000520464
k__Bacteria;p__Chloroflexi;c__Thermomicrobia	0	0.000230755	0	0.000115829	0	0	0	0	0
k__Bacteria;p__Cyanobacteria;Other	0	0	0	0	5.29E-05	2.24E-05	2.47E-05	0	0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.004064625	0.000553812	0.001198074	0.00122779	0.001163344	0.00082941	0.001311621	0.002380328	0.000496806
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.004294698	0.00276906	0.000304964	0.005721964	0.004626937	0.004079803	0.008018214	0.004476765	0.005180979
k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	0.0002812	0	8.71E-05	0.000208493	0	0	9.90E-05	0.000131027	0
k__Bacteria;p__Elusimicrobia;Other	0	4.62E-05	0	0	0	6.72E-05	0	0	2.37E-05
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.001354875	0.002122946	0.00047923	0.00150578	0.00219449	0.001412239	0.000791922	0.000393082	0.001868938
k__Bacteria;p__FBP;c__	0	0	0	0	0	0	2.47E-05	0	2.37E-05
k__Bacteria;p__FCPU426;c__	2.56E-05	0	0	4.63E-05	0.000317276	0.000179332	4.95E-05	0.000109189	4.73E-05
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria	0.000204509	0	0	0	0	0	0.000346466	0	2.37E-05
k__Bacteria;p__Firmicutes;c__Bacilli	0.000562401	9.23E-05	0.000675278	0.000509649	0.000105759	0.000268998	4.95E-05	0.000262055	7.10E-05
k__Bacteria;p__Firmicutes;c__Clostridia	0.00048571	0.000184604	0.000261398	0.000463317	2.64E-05	0.001031159	0.000148485	0.000174703	0.000165602
k__Bacteria;p__GAL15;c__	0.000460146	0.000415359	0.002875378	0.001158292	0.001586378	0.000425913	0.005147496	0.000829839	0.000898983
k__Bacteria;p__Gemmatimonadetes;Other	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	2.56E-05	0.00092302	8.71E-05	9.27E-05	0.000132198	2.24E-05	0.000173233	4.37E-05	0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-5	0	0	2.18E-05	0	2.64E-05	0	0	0	0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	0.001508257	0.002861362	0.001328773	0.001876433	0.001824335	0.00134499	0.001707583	0.000960867	0.002507689
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0	0	6.53E-05	0	0	0	0	0	0
k__Bacteria;p__NC10;c__12-24	0	0	0.000174265	6.95E-05	0	0	0	0	0
k__Bacteria;p__NKB19;c__	0	0.000138453	0	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae;c__Nitrospira	0.001022547	0.001522983	0.005990372	0.005165983	0.003727989	0.001031159	0.001014651	6.55E-05	0.000402176
k__Bacteria;p__OD1;c__SM2F11	7.67E-05	0	0	9.27E-05	7.93E-05	0	4.95E-05	4.37E-05	0.000141945
k__Bacteria;p__OD1;c__ZB2	0	0	0	0	0	0	0	0	4.73E-05
k__Bacteria;p__OP3;c__koll11	0.000178946	4.62E-05	4.36E-05	0.000115829	0.000105759	0.000179332	0.000272223	8.74E-05	4.73E-05
k__Bacteria;p__Planctomycetes;c__BD7-11	0	0.000138453	0	0	5.29E-05	0	0	0	0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	0.030932052	0.002353701	0.001154508	0.002293419	0.010496536	0.00307106	0.016952089	0.014653215	0.00203454
k__Bacteria;p__Planctomycetes;c__Pla4	0.000102255	0	4.36E-05	6.95E-05	2.64E-05	0.000179332	4.95E-05	0	9.46E-05
k__Bacteria;p__Planctomycetes;c__Planctomycetia	0.010097653	0.008353332	0.007384495	0.006115783	0.00655703	0.007016364	0.005568204	0.005677848	0.005701443
k__Bacteria;p__Planctomycetes;c__vadinHA49	7.67E-05	0	4.36E-05	0	0.000211517	0	4.95E-05	4.37E-05	4.73E-05
k__Bacteria;p__Proteobacteria;Other	0.001993967	0.002815211	0.001611955	0.001737438	0.00145418	0.002129567	0.002029301	0.001375786	0.001537734
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.294902602	0.405390438	0.393992202	0.405216948	0.397202686	0.423694239	0.390120768	0.378319357	0.404234682
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.008359323	0.025336902	0.009562812	0.014154331	0.009148115	0.007307779	0.004504059	0.001812544	0.006837
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.017281047	0.01790659	0.024288235	0.025134941	0.019300936	0.020107599	0.018733914	0.017907058	0.016063402
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.025410297	0.033228724	0.016141329	0.022308708	0.021839141	0.02273033	0.025316769	0.027253669	0.02098415
k__Bacteria;p__Proteobacteria;c__TA18	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__SAR406;c__AB16	2.56E-05	0	0	2.32E-05	0	0	0	0	0
k__Bacteria;p__SBR1093;c__	0	0	0	4.63E-05	2.64E-05	0	0	0	0
k__Bacteria;p__SBR1093;c__VHS-B5-50	0	0	0	2.32E-05	0.000158638	0	0	0	0
k__Bacteria;p__Spirochaetes;c__GN05	5.11E-05	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.000230073	0.000276906	0.001045592	0.000579146	5.29E-05	6.72E-05	0.000148485	0	0.000141945
k__Bacteria;p__Spirochaetes;c__[Leptospirae]	0	0	4.36E-05	0	0	0	0	0	0
k__Bacteria;p__TM6;Other	0	0	0	0	2.64E-05	2.24E-05	0	0	0
k__Bacteria;p__TM6;c__SBRH58	0.000102255	4.62E-05	6.53E-05	0.000115829	5.29E-05	8.97E-05	0	4.37E-05	7.10E-05
k__Bacteria;p__TM6;c__SJA-4	0.00097142	0.001015322	0.000370314	0.000926634	0.00142774	0.000313831	0.000569194	0.000371244	0.000638751
k__Bacteria;p__TM7;Other	0	9.23E-05	0	2.32E-05	2.64E-05	0	0	0	2.37E-05
k__Bacteria;p__TM7;c__SC3	0.000102255	0.000738416	0	0.000393819	0.000185077	0.000156915	0.000222728	0.000131027	0.000757038
k__Bacteria;p__TM7;c__TM7-1	0.001661639	0.000738416	0.000304964	0.000741307	0.001057586	0.000537996	0.001484854	0.001004542	0.000875325
k__Bacteria;p__TM7;c__TM7-3	0	0	0	0	0	0	0	0	9.46E-05
k__Bacteria;p__Tenericutes;c__Mollicutes	0	0.000138453	0.000130699	4.63E-05	0	4.48E-05	2.47E-05	0.000174703	4.73E-05
k__Bacteria;p__Verrucomicrobia;Other	0	0	0	2.32E-05	0	0	0	4.37E-05	0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.005393936	0.001199926	0.000501013	0.001297287	0.002802602	0.001165658	0.007523263	0.003363033	0.001159215
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	7.67E-05	0	2.18E-05	2.32E-05	0	0	4.95E-05	0	2.37E-05
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae]	0.000255637	0.000230755	4.36E-05	4.63E-05	0.000396595	0	0.000148485	0.000262055	0.000260232
k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	0.001150366	0.000415359	0.000697061	0.001088795	0.001903654	0.000806994	0.001955058	0.002555031	0.000425834
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	0.000230073	0.000184604	0.001067375	0.000648644	0.000264396	0.000650078	0.000470204	0.000982704	0.000331204
k__Bacteria;p__WPS-2;c__	0.01257733	0.007245708	0.020345481	0.017026896	0.014277405	0.018829859	0.025118788	0.028869672	0.009462976
k__Bacteria;p__WS3;c__PRR-12	0	0.000738416	6.53E-05	0.000301156	0	0	2.47E-05	0	0.00018926
k__Bacteria;p__WWE1;c__[Cloacamonae]	0	0	0.000108916	0	0	0	0	0	0
